Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2016Q2,E2,"High school or equivalent, no college",466
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q1,E2,"High school or equivalent, no college",-118
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2018Q2,A08,65-99,4649
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,71,"Arts, Entertainment, and Recreation",4652
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,56,Administrative and Support and Waste Management and Remediation Services,4654
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,61,Educational Services,4654
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q2,E2,"High school or equivalent, no college",112
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",4663
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q1,A04,25-34,7894
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,71,"Arts, Entertainment, and Recreation",4685
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q4,56,Administrative and Support and Waste Management and Remediation Services,4686
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2016Q4,A08,65-99,4692
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2018Q2,2,Female,19829
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2018Q3,2,Female,18831
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2018Q4,2,Female,18580
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q4,56,Administrative and Support and Waste Management and Remediation Services,4722
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,61,Educational Services,4722
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2017Q2,A08,65-99,4730
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q2,44-45,Retail Trade,4741
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2018Q1,A08,65-99,4743
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q3,E2,"High school or equivalent, no college",-128
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",4752
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,22,Utilities,4752
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,71,"Arts, Entertainment, and Recreation",4752
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2019Q3,44-45,Retail Trade,4761
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q4,72,Accommodation and Food Services,4765
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2019Q1,A08,65-99,4769
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q3,44-45,Retail Trade,4784
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,92,Public Administration,4785
Separations,Mid-Maryland WIA,Maryland Separations by Age All,2018Q1,A00,All,29845
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q4,92,Public Administration,4795
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,48-49,Transportation and Warehousing,4820
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,22,Utilities,12
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",14
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,11,"Agriculture, Forestry, Fishing and Hunting",219
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q1,23,Construction,4850
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,92,Public Administration,332
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,51,Information,4894
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q1,72,Accommodation and Food Services,4896
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,48-49,Transportation and Warehousing,4901
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,48-49,Transportation and Warehousing,4908
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,71,"Arts, Entertainment, and Recreation",4916
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",4917
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q4,92,Public Administration,4918
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2016Q1,A00,All,4920
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2019Q1,2,Female,14834
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,48-49,Transportation and Warehousing,4920
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2019Q2,2,Female,20070
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q1,72,Accommodation and Food Services,4929
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,51,Information,4929
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,55,Management of Companies and Enterprises,424
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,53,Real Estate and Rental and Leasing,449
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,51,Information,479
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,48-49,Transportation and Warehousing,4945
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2016Q2,A00,All,4946
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender,2019Q3,2,Female,19759
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q3,44-45,Retail Trade,4947
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,51,Information,4950
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q3,21,"Mining, Quarrying, and Oil and Gas Extraction",4955
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,22,Utilities,4955
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,51,Information,4961
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,48-49,Transportation and Warehousing,788
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2017Q4,A08,65-99,5003
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q2,92,Public Administration,5003
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",5003
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2016Q2,44-45,Retail Trade,5018
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,48-49,Transportation and Warehousing,5019
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2016Q4,72,Accommodation and Food Services,5020
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q4,92,Public Administration,5055
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,11,"Agriculture, Forestry, Fishing and Hunting",5055
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,51,Information,5060
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,23,Construction,5063
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q4,72,Accommodation and Food Services,5063
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,92,Public Administration,5074
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,81,Other Services (except Public Administration),1113
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,51,Information,5074
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,51,Information,5079
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",5084
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,22,Utilities,5084
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,31-33,Manufacturing,1129
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,71,"Arts, Entertainment, and Recreation",1151
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,52,Finance and Insurance,1390
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,48-49,Transportation and Warehousing,5111
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2017Q3,A00,All,5112
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2016Q1,0,All,29900
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2017Q2,A00,All,5114
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2016Q2,0,All,41608
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,42,Wholesale Trade,1693
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,48-49,Transportation and Warehousing,5126
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q2,A01,14-18,2124
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q4,56,Administrative and Support and Waste Management and Remediation Services,5135
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q2,A08,65-99,2129
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,71,"Arts, Entertainment, and Recreation",5138
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,23,Construction,5140
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,61,Educational Services,2267
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q3,21,"Mining, Quarrying, and Oil and Gas Extraction",5142
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2018Q4,A08,65-99,5142
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q2,92,Public Administration,5153
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q3,11,"Agriculture, Forestry, Fishing and Hunting",5153
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q2,53,Real Estate and Rental and Leasing,5159
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,54,"Professional, Scientific, and Technical Services",5159
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,51,Information,5169
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,23,Construction,2356
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,48-49,Transportation and Warehousing,5181
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,48-49,Transportation and Warehousing,5187
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,71,"Arts, Entertainment, and Recreation",5192
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,51,Information,5201
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,53,Real Estate and Rental and Leasing,5205
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q1,92,Public Administration,5212
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,51,Information,5221
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q3,56,Administrative and Support and Waste Management and Remediation Services,5224
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,62,Health Care and Social Assistance,3117
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2016Q3,A00,All,5237
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2016Q3,0,All,39692
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q3,92,Public Administration,5239
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2018Q2,A00,All ,5242
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2016Q4,0,All,35875
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,48-49,Transportation and Warehousing,5252
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,48-49,Transportation and Warehousing,5260
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,54,"Professional, Scientific, and Technical Services",3229
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q1,23,Construction,5280
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q2,A02,19-21,3257
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2018Q3,A00,All ,5284
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2017Q1,0,All,30881
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,51,Information,5290
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,23,Construction,5295
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,92,Public Administration,5297
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,53,Real Estate and Rental and Leasing,5298
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2016Q4,A00,All,5299
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2017Q2,0,All,40496
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2017Q1,A00,All,5301
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2017Q3,0,All,37117
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",5311
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,22,Utilities,5311
Workers,Mid-Maryland WIA,Maryland Workers by Age,2016Q1,A01,14-18,5311
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,48-49,Transportation and Warehousing,5322
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q2,53,Real Estate and Rental and Leasing,5323
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,54,"Professional, Scientific, and Technical Services",5323
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,92,Public Administration,5339
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,11,"Agriculture, Forestry, Fishing and Hunting",5339
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,51,Information,5341
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q2,A03,22-24,3451
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,48-49,Transportation and Warehousing,5360
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,23,Construction,5370
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q2,23,Construction,5370
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,31-33,Manufacturing,5370
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,31-33,Manufacturing,5370
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",5371
Workers,Mid-Maryland WIA,Maryland Workers by Age,2016Q2,A01,14-18,5377
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,53,Real Estate and Rental and Leasing,5390
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,21,"Mining, Quarrying, and Oil and Gas Extraction",5399
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,48-49,Transportation and Warehousing,5408
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age,2019Q2,A00,All ,5409
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2017Q4,0,All,35202
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",5410
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,22,Utilities,5410
Separations,Mid-Maryland WIA,Maryland Separations by Age,2018Q2,A07,55-64,3768
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2018Q1,0,All,30904
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2018Q1,A00,All,5416
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q4,E2,"High school or equivalent, no college",89
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q3,23,Construction,5425
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,44-45,Retail Trade,4447
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Age All,2017Q4,A00,All,5439
New Hires,Mid-Maryland WIA,Maryland New Hires by Gender All,2018Q2,0,All,41689
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,56,Administrative and Support and Waste Management and Remediation Services,5090
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,51,Information,5444
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q3,56,Administrative and Support and Waste Management and Remediation Services,5454
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",5464
